scenario,purchase_price,years,total_cost,end_value_or_portfolio,initial_rent,rent_price_ratio
buy,3000000.0,70,-6027273.3918126505,19002772.58909221,,
rent,,70,-53503484.0084009,56503484.0084009,30000.0,0.01
